"noteWavNames";"notenames";"expected";"expected_notenames";"date";"rownum";"session"
-2;"g'";-2;"g'";"2017-09-21";"20";11
-2;"g'";-2;"g'";"2017-09-21";"21";11
-14;"g";-14;"g";"2017-09-21";"1";12
-14;"g";-14;"g";"2017-09-21";"2";12
-13;"g#";-14;"g";"2017-09-21";"3";12
-12;"a";-12;"a";"2017-09-21";"4";12
-10;"b";-12;"a";"2017-09-21";"5";12
-10;"b";-10;"b";"2017-09-21";"6";12
-9;"c'";-10;"b";"2017-09-21";"7";12
-10;"b";-9;"c'";"2017-09-21";"8";12
-9;"c'";-9;"c'";"2017-09-21";"9";12
-78;" ";-9;"c'";"2017-09-21";"10";12
-80;" ";-7;"d'";"2017-09-21";"11";12
-5;"e'";-7;"d'";"2017-09-21";"12";12
-5;"e'";-7;"d'";"2017-09-21";"13";12
-3;"f#'";-5;"e'";"2017-09-21";"14";12
-3;"f#'";-5;"e'";"2017-09-21";"15";12
-2;"g'";-5;"e'";"2017-09-21";"16";12
-2;"g'";-3;"f#'";"2017-09-21";"17";12
-2;"g'";-3;"f#'";"2017-09-21";"18";12
-2;"g'";-3;"f#'";"2017-09-21";"19";12
-2;"g'";-2;"g'";"2017-09-21";"20";12
-2;"g'";-2;"g'";"2017-09-21";"21";12
-39;"F#,";-14;"g";"2017-09-22";"1";13
0;"a'";-14;"g";"2017-09-22";"2";13
0;"a'";-14;"g";"2017-09-22";"3";13
0;"a'";-12;"a";"2017-09-22";"4";13
0;"a'";-12;"a";"2017-09-22";"5";13
0;"a'";-10;"b";"2017-09-22";"6";13
-9;"c'";-10;"b";"2017-09-22";"7";13
-9;"c'";-9;"c'";"2017-09-22";"8";13
-9;"c'";-9;"c'";"2017-09-22";"9";13
-7;"d'";-9;"c'";"2017-09-22";"10";13
-7;"d'";-7;"d'";"2017-09-22";"11";13
-7;"d'";-7;"d'";"2017-09-22";"12";13
-5;"e'";-7;"d'";"2017-09-22";"13";13
-5;"e'";-5;"e'";"2017-09-22";"14";13
-5;"e'";-5;"e'";"2017-09-22";"15";13
-3;"f#'";-5;"e'";"2017-09-22";"16";13
-3;"f#'";-3;"f#'";"2017-09-22";"17";13
-3;"f#'";-3;"f#'";"2017-09-22";"18";13
-2;"g'";-3;"f#'";"2017-09-22";"19";13
-2;"g'";-2;"g'";"2017-09-22";"20";13
-2;"g'";-2;"g'";"2017-09-22";"21";13
-39;"F#,";-14;"g";"2017-09-22";"1";14
-38;"G,";-14;"g";"2017-09-22";"2";14
-13;"g#";-14;"g";"2017-09-22";"3";14
